prerequisites,course,description,unit,title
CHEM 103,SOIL SCI/​ENVIR ST/​LAND ARC  695,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program",3 ,APPLICATIONS OF GEOGRAPHIC INFORMATION SYSTEMS IN NATURAL RESOURCES
None,SURGERY 956,"
Enroll Info: 4th yr Med st",2-12 ,PLASTIC AND RECONSTRUCTIVE SURGERY CLERKSHIP-CSC
None,SURGERY 957,"
",2-12 ,PLASTIC SURGERY-MARSHFIELD
None,SURGERY 960,"
The student will select four areas of interest from a ""menu"" of surgical specialties. Through clinic (not operative or inpatient) experiences, it is hoped the student will develop clinical skills in diagnosis, screening, prevention, etc. as it relates to surgical disease. The surgical librarian and faculty will guide the student through a case(s) utilizing EBM research. Enroll Info: 3rd or 4th yr Med st  completion of all CORE clerskhips",2-12 ,TRANSPLANTATION CLERKSHIP-CSC
None,SURGERY 961,"
",2-12 ,BURN SURGERY CLERKSHIP (CSC)
None,SURGERY 962,"
Students become an integral member of the pediatric surgery service. Development of clinical skills in the diagnosis and treatment of pediatric surgical patients is accomplished through inpatient rounds, clinics, clinical procedures, operative procedures, and surgery conferences. Enroll Info: ",2-12 ,CRITICAL CARE SURGERY-CSC
None,SURGERY 963,"
",2-12 ,CARDIAC SURGERY CLERKSHIP-CSC
None,SURGERY 964,"
Provides an in-depth exposure to inpatient and operative management of complicated surgical patients. Work under the direct supervision of a senior resident, fellows and faculty. This rotation will provides an opportunity to function at the intern level and play an active role in inpatient management of surgical patients. Enroll Info: None",2-12 ,THORACIC SURGERY CLERKSHIP-CSC
None,SURGERY 967,"
",2-12 ,UROLOGY CLERKSHIP-CSC
None,SURGERY 968,"
Enroll Info: 4th yr Med st",2-4 ,UROLOGY FOR THE FUTURE PEDIATRICIAN
None,SURGERY 969,"
",2-4 ,UROLOGY FOR THE FUTURE PRIMARY CARE PROVIDER
None,SURGERY 970,"
Enroll Info: 4th yr Med st",2-4 ,UROLOGY FOR THE FUTURE OBSTETRICIAN/GYNECOLOGIST
None,SURGERY 971,"
",2 ,ACCELERATED SKILLS FOR SURGICAL INTERNSHIP
None,SURGERY 972,"
Enroll Info: 4th yr Med st",2 ,INTERPROFESSIONAL SIMULATION TEAM IMMERSION COURSE
None,SURGERY 973,"
",2 ,"OPTIMIZING VALUE, QUALITY AND SAFETY IN HEALTHCARE: A CASE STUDY IN SURGERY"
None,SURGERY 974,"
Clinical elective for fourth year medical students. Enroll Info: 4th yr Med st",2 ,PATIENT EDUCATION AS A STRATEGY FOR ADVOCACY
None,SURGERY 975,"
",2 ,MULTIDISCIPLINARY APPROACHES TO COLON CANCER PREVENTION/TREATMENT
None,SURGERY 976,"
Enroll Info: 4th yr Med st",2 ,THE SCIENCE OF OBESITY AND DIABETES
224,SPANISH/​FRENCH/​ITALIAN/​PORTUG  429,"
Enroll Info: None",3 ,INTRODUCTION TO THE ROMANCE LANGUAGES
SPANISH 223,SPANISH 435,"
",3 ,CERVANTES
224,SPANISH/​ENVIR ST  445,"
Advanced language practice, including intensive writing and work in pertinent areas of grammar and stylistics. Enroll Info: Cons inst or ",3 ,CULTURE AND THE ENVIRONMENT IN THE LUSO-HISPANIC WORLD
SPANISH 223,SPANISH 446,"
",3 ,TOPICS IN SPANISH LINGUISTICS
224,SPANISH 451,"
Intensive oral and written practice in major areas of Spanish professional usage. Each offering will focus on an important field in which students tend to apply their language skills (journalism, commerce, medicine, law, social serveces, etc.). Enroll Info: ",3 ,LITERATURE OF THE EIGHTEENTH AND NINETEENTH CENTURIES
SPANISH 223,SPANISH 453,"
",3 ,LITERATURE OF THE TWENTIETH CENTURY
224,SPANISH 460,"
Practice course for improvement of pronunciation, and introduction to transcription and phonetic and phonemic analysis. Enroll Info: ",3 ,LITERATURA HISPANOAMERICANA
SPANISH 223,SPANISH 461, or consent of instructor,3 ,THE SPANISH AMERICAN SHORT STORY
224,SPANISH 462,"
",3 ,SPANISH AMERICAN THEATER AND DRAMA
SPANISH 223,SPANISH 463,"
This course will guide students to a deeper understanding of the structure and usage of modern Spanish through an examination of linguistic phenomena found throughout the Spanish-speaking world. Students will analyze authentic speech and texts of varied genres (newspaper articles, literature, advertisements, blogs, etc.) both to understand the conventions of modern Spanish structure and usage, and to investigate how grammatical structure may be manipulated by Spanish speakers (including themselves) to accomplish particular communicative goals. Enroll Info: ",3 ,THE SPANISH AMERICAN NOVEL
224,SPANISH 464, or consent of instructor. Open to freshmen,3 ,SPANISH AMERICAN POETRY AND ESSAY
SPANISH 361,SPANISH 465,"
",3 ,LITERATURE AND FILM IN SPANISH AMERICA
363,SPANISH 466,"
Selected readings, discussions, and literary history of Spain and Spanish America through 1700. Enroll Info: ",1 credit.,TOPICS IN SPANISH AMERICAN LITERATURE
468,SPANISH/​CHICLA  467," (or higher lang placement), ",3 ,US LATINO LITERATURE
SPANISH 223,SPANISH 468,", ",3 ,TOPICS IN HISPANIC CULTURE
224,SPANISH/​CHICLA  469,"
",3 , 
311,SPANISH 470,"
Analysis of important questions of syntax, style, and idiomatic Spanish, with emphasis on expository writing. Enroll Info: None",3 ,TOPICS IN HISPANIC CULTURES IN THE U.S.
SPANISH 223,SPANISH 471,"
",3 ,UNDERGRADUATE SEMINARS IN HISPANIC LITERATURE/CULTURE/LINGUISTICS
224,SPANISH 472,"
Readings, discussions, literary history. Eighteenth to twentieth centuries. Enroll Info: ",3 ,TOPICS IN HISPANIC LITERATURE
SPANISH 223,SPANISH 473,", ",1-4 ,HISPANIC SCREEN STUDIES
224,SPANISH 474,", ",1-4 ,STUDY ABROAD IN SPANISH LANGUAGE PRACTICE
SPANISH 223,SPANISH 475,"
",1-4 ,STUDY ABROAD IN SPANISH LINGUISTICS
224,SPANISH 476,"
Enroll Info: ",1-4 ,STUDY ABROAD IN HISPANIC LITERATURES
SPANISH 223,SPANISH 477,"
",3 ,STUDY ABROAD IN HISPANIC CULTURES
224,SPANISH/​CHICLA  478,"
Introduction to the study of Spanish American literature; reading, discussions, literary history. Eighteenth to twentieth centuries. Enroll Info: ",3 ,LATIN AMERICAN ROCK CULTURES
None,SPANISH 479,", ",3 ,BORDER AND RACE STUDIES IN LATIN AMERICA
None,SPANISH 480,", ",3 ,LATIN AMERICAN LITERATURE AND HUMAN RIGHTS
None,SPANISH 501,"
",3 ,TOPICS IN LATIN AMERICAN PERFORMANCE/VISUAL STUDIES
None,SPANISH 502,"
Introduction to the linguistic analysis of Spanish, including morphology, syntax, dialectology, history of the language, language acquisition, and sociolinguistic variation. Enroll Info: None",3 ,SURVEY OF SPANISH AMERICAN LITERATURE FROM THE DISCOVERY TO MODERNISMO
STAT/​MATH  309,STAT 456,"
This modular course is aimed at providing students with an understanding of commonly used statistical languages. (Two such languages commonly used in our Department -- and others -- are R and SAS.) Modules will be offered at the introductory, intermediate and advanced levels. (Also, students may not receive credit twice for the same language at the same level.) Enroll Info: Any introductory stat course (224, 301, 302, 324, 371) for all modules; additional prerequisites will vary by topic",3 ,APPLIED CATEGORICAL DATA ANALYSIS
STAT 311,STAT 461,"
",3 ,STATISTICAL EXPERIMENTAL DESIGN
STAT/​MATH  431,STAT/​COMP SCI  471,"
An introduction to regression with emphasis on the practical aspects. Topics include: straight-line model, role of assumptions, residual analysis, transformations, multiple regression (with some use of matrix notation), multicollinearity, subset selection, and a brief introduction to mixed models. Enroll Info: An introductory statistics course (Stat 224 or ",3 ,INTRODUCTION TO THE THEORY OF PROBABILITY
STAT 301,STAT/​COMP SCI/​MATH  475, or ,3 ,INTRODUCTION TO BIOSTATISTICS FOR PHARMACY
STAT 302,STAT 479, or ,1-3 ,APPLIED MULTIVARIATE ANALYSIS
STAT 324,STAT/​B M I  511, or ,3 ,FINANCIAL STATISTICS
STAT 371,STAT/​COMP SCI/​ISY E/​MATH  525,) and ,3 ,INTRODUCTION TO COMPUTATIONAL STATISTICS
ECON 310,STAT/​B M I  541, (,3 ,INTRODUCTION TO COMBINATORICS
MATH 234,STAT/​B M I  542, may be taken concurrently),3 ,SPECIAL TOPICS IN STATISTICS
STAT/​MATH  309,STAT/​B M I  546,"
",3 ,INTRODUCTION TO BIOSTATISTICAL METHODS FOR PUBLIC HEALTH
STAT/​MATH  431,STAT/​F&W ECOL/​HORT  571,"
Autocorrelation; stationarity and non-stationarity; heteroscedasticity; dynamic models; auto-regressive and moving average models; identification and fitting; forecasting; seasonal adjustment; applications for financial time series, social sciences and environmental studies. Enroll Info: None",4 ,LINEAR PROGRAMMING METHODS
STAT/​MATH  309,STAT/​F&W ECOL/​HORT  572,"
",4 ,INTRODUCTION TO BIOSTATISTICS
STAT 311,STAT 575,"
Distribution free statistical procedures or methods valid under nonrestrictive assumptions: basic tools; counting methods; order statistics, ranks, empirical distribution functions; distribution free tests and associated interval and point estimators; sign test; signed rank tests; rank tests; Mann Whitney Wilcoxon procedures; Kolmogorov Smirnov tests; permutation methods; kernel density estimation; kernel and spline regression estimation; computer techniques and programs; discussion and comparison with parametric methods. Enroll Info: None",3 ,INTRODUCTION TO CLINICAL TRIALS I
STAT/​MATH  431,STAT 601,"
",4 ,PRACTICUM IN CLINICAL TRIAL DATA ANALYSIS AND INTERPRETATION
MATH 222,STAT 602,"
Credit is awarded for students having completed an advanced statistics course in a study abroad program for which there is no direct equivalence to the statistics department course offerings. The study abroad course must be pre-approved by the statistics department. Enroll Info: None",4 , 
276,STAT 609,"
",3 ,STATISTICAL METHODS FOR BIOSCIENCE I
371,STAT 610,"
The course will provide students in the life sciences with an introduction to modern statistical practice. Topics include: exploratory data analysis, probability and random variables; one-sample testing and confidence intervals, role of assumptions, sample size determination, two-sample inference; basic ideas in experimental design, analysis of variance, linear regression, goodness-of fit;  biological applications. Enroll Info: None",4 ,STATISTICAL METHODS FOR BIOSCIENCE II
STAT 301,STAT 627,"
",1-3 ,STATISTICAL METHODS FOR SPATIAL DATA
STAT 302,STAT 628,"
An introduction to the methods used to design sample surveys and analyze the results. Topics covered include: basic tools, simple random sampling, ratio and regression estimation, stratification, systematic sampling, cluster (area) sampling, two-stage sampling, unequal probability sampling, non-sampling errors, and missing data. For illustration and clarification, examples are drawn from diverse areas of application. Enroll Info: None",1-3 ,STATISTICAL METHODS I
STAT 312,STAT/​ISY E/​MATH/​OTM  632,"
",3 ,STATISTICAL METHODS II
STAT 324,STAT/​B M I  641,"
Analysis of multidimensional contingency tables, Poisson regression, and logistic regression, with emphasis on practical applications. Use of computer programs for such analyses. Model selection, testing goodness of fit, estimation of parameters, measures of association and methods for detecting sources of significance. Enroll Info: None",3 ,MATHEMATICAL STATISTICS I
STAT 371,STAT/​B M I  642,"
",3 ,INTRODUCTION TO STATISTICAL INFERENCE
STAT 327,STAT 679,"
This course provides a systematic introduction to statistical design and analysis of experiments. Topics include: principles of randomization, blocking and replication, randomized blocking designs, Latin square designs, full factorial and fractional factorial designs and response surface methodology. Substantial focus will be devoted to engineering applications. Enroll Info: None",1-3 ,PROFESSIONAL SKILLS IN DATA SCIENCE
STAT 333,STAT 681,"
",3 ,DATA SCIENCE PRACTICUM
STAT 333,STAT 682,"
Topics covered include axioms of probability, random variables, the most important discrete and continuous probability distributions, expectation and variance, moment generating functions, conditional probability and conditional expectations, multivariate distributions, Markov's and Chebyshev's inequalities, laws of large numbers, and the central limit theorem. Enroll Info: None",3 ,INTRODUCTION TO STOCHASTIC PROCESSES
MATH 112,STAT 698,"
",1-6 ,STATISTICAL METHODS FOR CLINICAL TRIALS
SOC 375,SOC 320,"
Leadership in Intercultural Dialogues is for student facilitators and apprentices of ",1-3 ,BASCOM COURSE
MATH 320,SOC/​A A E/​C&E SOC  340,", Intercultural Dialogues (ICD), which promotes diversity on campus by bringing students of different backgrounds together for discussion, projects, and gatherings outside of class. Students must complete ",3-4 ,INTRODUCTION TO SOUTHEAST ASIA:  VIETNAM TO THE PHILIPPINES
MATH 340,SOC/​C&E SOC  341, to be eligible for this course. Enroll Info: None,3 ,TECHNOLOGY AND SOCIETY
MATH 341,SOC 351,"
",3 ,"ENVIRONMENT, NATURAL RESOURCES, AND SOCIETY"
MATH 375,SOC/​C&E SOC  357,"
Introduction to the field of American sociology, its subfields and specialized areas of research, theoretical traditions and research methods. Gateway to advanced courses in sociology. Enroll Info: None",3-4 ,ORGANIZATIONS AND SOCIETY
SOC/​C&E SOC  360,SOC/​C&E SOC  360,"
",4 ,"THE JEWS, STATES, AND CITIZENSHIP: A SOCIOLOGICAL PERSPECTIVE"
SOC/​C&E SOC  357,SOC/​C&E SOC  361,"
Basic principles and definitions of sociology. Readings and discussion of the perspectives of sociology, the individual and society, groups and social process, stratification, organizations and power, demography, and social change. Gateway to advanced courses in sociology. Enroll Info: None",3 ,LATIN AMERICA: AN INTRODUCTION
SOC/​C&E SOC  360,SOC 362,"
",3 ,AFRICA: AN INTRODUCTORY SURVEY
SOC 181,SOC/​C&E SOC  365,"
Sociological dimensions of men's and women's work in nonmetropolitan areas of the United States. Examines gender divisions of ""work"" in its fullest sense: paid work in formal and informal economies, self-employment, and nonmarket work such as housework. Enroll Info: None",3-4 ,RESEARCH PRACTICUM IN SOCIOLOGY
SOC WORK 205,SOC 375,"
",3 ,ISSUES IN FOOD SYSTEMS
SOC/​LEGAL ST  131,SOC 376,"
Sociological analysis of historical and recent ethnic/racial conflict and movements in the U.S., including the relations between European Americans, African Americans, Mexican Americans, Native Americans, and Asian Americans, with additional material on other groups and relations. Enroll Info: None",3 ,LABOR IN GLOBAL FOOD SYSTEMS
